ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1600/1582,0.002,0.000,0.005,0.000,/usr/lib/python3.10/site-packages/traitlets/traitlets.py:717(_validate)
62,0.000,0.000,0.005,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/weyl_group.py:216(__classcall__)
4522,0.002,0.000,0.005,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_system.py:512(coroot_lattice)
2942,0.005,0.000,0.005,0.000,/usr/lib/python3.10/site-packages/sage/categories/fields.py:62(__contains__)
50213,0.005,0.000,0.005,0.000,{built-in method numpy.asanyarray}
1,0.003,0.003,0.005,0.005,/usr/lib/python3.10/site-packages/sage/combinat/root_system/weyl_group.py:220(__init__)
1,0.000,0.000,0.005,0.005,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_system.py:651(ambient_space)
1,0.000,0.000,0.005,0.005,/usr/lib/python3.10/site-packages/sage/combinat/root_system/ambient_space.py:74(__init__)
1,0.000,0.000,0.005,0.005,/usr/lib/python3.10/site-packages/sage/combinat/root_system/weyl_group.py:289(simple_reflections)
265,0.001,0.000,0.005,0.000,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:704(parabolic_n_basis)
1,0.000,0.000,0.005,0.005,/home/rik/git/bgg-cohomology/bggcohomology/quantum_center.py:446(all_abijk)
7/3,0.000,0.000,0.005,0.002,/usr/lib/python3.10/site-packages/sage/combinat/free_module.py:366(__init__)
444,0.001,0.000,0.005,0.000,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:679(parabolic_p_basis)
6,0.000,0.000,0.005,0.001,/usr/lib/python3.10/site-packages/sage/sets/family.py:412(<dictcomp>)
9100,0.005,0.000,0.005,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/cartan_type.py:2411(_repr_)
233/200,0.000,0.000,0.005,0.000,/usr/lib/python3.10/site-packages/traitlets/traitlets.py:1384(notify_change)
5162/5144,0.002,0.000,0.004,0.000,{built-in method builtins.next}
2,0.000,0.000,0.004,0.002,/usr/lib/python3.10/site-packages/sage/sets/family.py:454(map)
6,0.000,0.000,0.004,0.001,/usr/lib/python3.10/site-packages/sage/sets/family.py:468(<lambda>)
24361,0.004,0.000,0.004,0.000,/usr/lib/python3.10/site-packages/sage/matrix/matrix_space.py:2096(ncols)
3,0.000,0.000,0.004,0.001,/usr/lib/python3.10/site-packages/sage/combinat/root_system/weyl_group.py:286(from_morphism)
12,0.000,0.000,0.004,0.000,/home/rik/.sage/local/lib/python3.10/site-packages/tqdm/notebook.py:297(reset)
133,0.001,0.000,0.004,0.000,/usr/lib/python3.10/site-packages/jupyter_client/session.py:646(msg)
6480,0.003,0.000,0.004,0.000,/usr/lib/python3.10/site-packages/sage/sets/family.py:721(cardinality)
