ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
32486,0.060,0.000,0.149,0.000,/usr/lib/python3.10/site-packages/sage/misc/verbose.py:116(verbose)
546,0.006,0.000,0.143,0.000,/usr/lib/python3.10/site-packages/sage/matrix/special.py:888(identity_matrix)
200,0.000,0.000,0.140,0.001,/home/rik/.sage/local/lib/python3.10/site-packages/tqdm/std.py:1396(set_description)
577115,0.139,0.000,0.139,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_lattice_realizations.py:213(index_set)
171624,0.095,0.000,0.139,0.000,<frozen importlib._bootstrap>:404(parent)
120,0.000,0.000,0.132,0.001,/usr/lib/python3.10/site-packages/sage/categories/coxeter_groups.py:1535(reduced_word)
152403/152402,0.100,0.000,0.132,0.000,<frozen importlib._bootstrap>:1053(_handle_fromlist)
720,0.001,0.000,0.132,0.000,/usr/lib/python3.10/site-packages/sage/categories/coxeter_groups.py:1503(reduced_word_reverse_iterator)
3566,0.006,0.000,0.131,0.000,<__array_function__ internals>:177(stack)
12118,0.033,0.000,0.130,0.000,/usr/lib/python3.10/site-packages/sage/categories/category.py:418(__classcall__)
30770,0.060,0.000,0.130,0.000,/usr/lib/python3.10/site-packages/sage/monoids/indexed_free_monoid.py:475(_sorted_items)
742,0.001,0.000,0.128,0.000,/usr/lib/python3.10/site-packages/sage/categories/coxeter_groups.py:1395(first_descent)
1928,0.004,0.000,0.126,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/weyl_group.py:845(has_descent)
10374,0.097,0.000,0.122,0.000,/usr/lib/python3.10/site-packages/sage/categories/homset.py:583(__init__)
45800,0.057,0.000,0.120,0.000,/usr/lib/python3.10/site-packages/sage/graphs/digraph.py:1162(outgoing_edges)
825,0.027,0.000,0.117,0.000,{method 'matrix' of 'sage.matrix.args.MatrixArgs' objects}
655,0.005,0.000,0.112,0.000,/usr/lib/python3.10/site-packages/traitlets/traitlets.py:1766(traits)
90,0.033,0.000,0.112,0.001,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:115(<dictcomp>)
620,0.002,0.000,0.112,0.000,/home/rik/git/bgg-cohomology/bggcohomology/bggcomplex.py:337(_weight_to_alpha_sum)
21431,0.040,0.000,0.107,0.000,/usr/lib/python3.10/site-packages/sage/structure/dynamic_class.py:129(dynamic_class)
